BEST PARAMETERS:
{'n_estimators': 3744, 'max_depth': 2, 'learning_rate': 0.09916927539385754, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.5}

--------------------------------------------------------------------------------------------------------------------------------------------------------

[I 2021-08-29 15:48:38,682] A new study created in memory with name: xgboost_optimization
[I 2021-08-29 15:48:42,737] Trial 0 finished with value: 0.7266775777414076 and parameters: {'n_estimators': 1525, 'max_depth': 2, 'learning_rate': 0.0018540438937934133, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.9}. Best is trial 0 with value: 0.7266775777414076.
[I 2021-08-29 15:48:56,623] Trial 1 finished with value: 0.7548387096774194 and parameters: {'n_estimators': 1996, 'max_depth': 10, 'learning_rate': 0.002221049544497063, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.5}. Best is trial 1 with value: 0.7548387096774194.
[I 2021-08-29 15:49:02,582] Trial 2 finished with value: 0.7798742138364779 and parameters: {'n_estimators': 4597, 'max_depth': 5, 'learning_rate': 0.008719503800237062, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.5}. Best is trial 2 with value: 0.7798742138364779.
[I 2021-08-29 15:49:11,800] Trial 3 finished with value: 0.7223880597014927 and parameters: {'n_estimators': 753, 'max_depth': 1, 'learning_rate': 0.00037294590523524187, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.6}. Best is trial 2 with value: 0.7798742138364779.
[I 2021-08-29 15:49:24,993] Trial 4 finished with value: 0.7689873417721519 and parameters: {'n_estimators': 4461, 'max_depth': 8, 'learning_rate': 0.003529116238422116, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.6}. Best is trial 2 with value: 0.7798742138364779.
[I 2021-08-29 15:49:34,566] Trial 5 finished with value: 0.7539432176656151 and parameters: {'n_estimators': 3881, 'max_depth': 6, 'learning_rate': 1.3336948910357936e-05, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.9}. Best is trial 2 with value: 0.7798742138364779.
[I 2021-08-29 15:50:33,399] Trial 6 finished with value: 0.7672131147540984 and parameters: {'n_estimators': 3636, 'max_depth': 7, 'learning_rate': 0.015379508509189972, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.7}. Best is trial 2 with value: 0.7798742138364779.
[I 2021-08-29 15:50:40,020] Trial 7 finished with value: 0.7223880597014927 and parameters: {'n_estimators': 1013, 'max_depth': 1, 'learning_rate': 0.00016351951054757684, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.8}. Best is trial 2 with value: 0.7798742138364779.
[I 2021-08-29 15:50:49,377] Trial 8 finished with value: 0.7672131147540984 and parameters: {'n_estimators': 1776, 'max_depth': 3, 'learning_rate': 0.04533365014593018, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.7}. Best is trial 2 with value: 0.7798742138364779.
[I 2021-08-29 15:50:54,223] Trial 9 finished with value: 0.7216174183514775 and parameters: {'n_estimators': 656, 'max_depth': 2, 'learning_rate': 0.0005655982471932396, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8}. Best is trial 2 with value: 0.7798742138364779.
[I 2021-08-29 15:50:58,598] Trial 10 finished with value: 0.7628205128205129 and parameters: {'n_estimators': 2926, 'max_depth': 4, 'learning_rate': 2.3334772509930136e-06, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5}. Best is trial 2 with value: 0.7798742138364779.
[I 2021-08-29 15:51:06,442] Trial 11 finished with value: 0.7585089141004862 and parameters: {'n_estimators': 4993, 'max_depth': 8, 'learning_rate': 0.00990990519084566, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.6}. Best is trial 2 with value: 0.7798742138364779.
[I 2021-08-29 15:51:39,530] Trial 12 finished with value: 0.7614533965244864 and parameters: {'n_estimators': 4999, 'max_depth': 9, 'learning_rate': 0.005277598087722808, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6}. Best is trial 2 with value: 0.7798742138364779.
[I 2021-08-29 15:51:44,967] Trial 13 finished with value: 0.7677419354838709 and parameters: {'n_estimators': 4145, 'max_depth': 5, 'learning_rate': 0.09405619162832476, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.5}. Best is trial 2 with value: 0.7798742138364779.
[I 2021-08-29 15:51:55,486] Trial 14 finished with value: 0.764612954186414 and parameters: {'n_estimators': 3226, 'max_depth': 7, 'learning_rate': 5.7103082494537255e-05, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.6}. Best is trial 2 with value: 0.7798742138364779.
[I 2021-08-29 15:52:01,266] Trial 15 finished with value: 0.7640791476407914 and parameters: {'n_estimators': 4392, 'max_depth': 5, 'learning_rate': 0.0014216497698334152, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0}. Best is trial 2 with value: 0.7798742138364779.
[I 2021-08-29 15:52:13,905] Trial 16 finished with value: 0.7596153846153847 and parameters: {'n_estimators': 4480, 'max_depth': 8, 'learning_rate': 0.019233367793929975, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.5}. Best is trial 2 with value: 0.7798742138364779.
