Best parameters:
{'n_estimators': 3382, 'max_depth': 6, 'learning_rate': 0.009040061994740738, 'subsample': 0.9, 'min_samples_split': 320}

--------------------------------------------------------------------------------------------------------------------------------------------------------

[I 2021-08-29 15:52:10,229] A new study created in memory with name: gbm_optimze
[I 2021-08-29 15:52:32,361] Trial 0 finished with value: 0.775244299674267 and parameters: {'n_estimators': 1542, 'max_depth': 9, 'learning_rate': 0.08840330346147143, 'subsample': 0.9, 'min_samples_split': 720}. Best is trial 0 with value: 0.775244299674267.
[I 2021-08-29 15:55:27,279] Trial 1 finished with value: 0.7448680351906158 and parameters: {'n_estimators': 3175, 'max_depth': 6, 'learning_rate': 4.745562556004935e-05, 'subsample': 0.6, 'min_samples_split': 550}. Best is trial 0 with value: 0.775244299674267.
[I 2021-08-29 15:57:33,578] Trial 2 finished with value: 0.7717041800643086 and parameters: {'n_estimators': 2724, 'max_depth': 1, 'learning_rate': 0.010704928251883118, 'subsample': 0.9, 'min_samples_split': 240}. Best is trial 0 with value: 0.775244299674267.
[I 2021-08-29 16:01:35,082] Trial 3 finished with value: 0.7732463295269169 and parameters: {'n_estimators': 3267, 'max_depth': 5, 'learning_rate': 0.003183762880977163, 'subsample': 0.8, 'min_samples_split': 440}. Best is trial 0 with value: 0.775244299674267.
[I 2021-08-29 16:02:21,837] Trial 4 finished with value: 0.7537190082644628 and parameters: {'n_estimators': 3341, 'max_depth': 5, 'learning_rate': 0.036074237200284694, 'subsample': 0.9, 'min_samples_split': 500}. Best is trial 0 with value: 0.775244299674267.
[I 2021-08-29 16:09:22,286] Trial 5 finished with value: 0.746875 and parameters: {'n_estimators': 2486, 'max_depth': 7, 'learning_rate': 0.0002489889465814994, 'subsample': 0.9, 'min_samples_split': 230}. Best is trial 0 with value: 0.775244299674267.
[I 2021-08-29 16:12:47,581] Trial 6 finished with value: 0.7393364928909952 and parameters: {'n_estimators': 2927, 'max_depth': 9, 'learning_rate': 0.0002672794811553916, 'subsample': 0.6, 'min_samples_split': 510}. Best is trial 0 with value: 0.775244299674267.
[I 2021-08-29 16:16:31,573] Trial 7 finished with value: 0.7689822294022617 and parameters: {'n_estimators': 4258, 'max_depth': 4, 'learning_rate': 0.003647785039455312, 'subsample': 0.7, 'min_samples_split': 940}. Best is trial 0 with value: 0.775244299674267.
[I 2021-08-29 16:19:47,794] Trial 8 finished with value: 0.6987399770904925 and parameters: {'n_estimators': 2088, 'max_depth': 6, 'learning_rate': 1.1820626982277352e-05, 'subsample': 0.6, 'min_samples_split': 210}. Best is trial 0 with value: 0.775244299674267.
[I 2021-08-29 16:20:12,470] Trial 9 finished with value: 0.7647999999999999 and parameters: {'n_estimators': 641, 'max_depth': 2, 'learning_rate': 0.00385370792143726, 'subsample': 0.5, 'min_samples_split': 330}. Best is trial 0 with value: 0.775244299674267.
[I 2021-08-29 16:20:16,842] Trial 10 finished with value: 0.6987399770904925 and parameters: {'n_estimators': 943, 'max_depth': 10, 'learning_rate': 1.5240711514033042e-06, 'subsample': 1.0, 'min_samples_split': 800}. Best is trial 0 with value: 0.775244299674267.
[I 2021-08-29 16:20:32,076] Trial 11 finished with value: 0.7552674230145867 and parameters: {'n_estimators': 1545, 'max_depth': 8, 'learning_rate': 0.09929309373926241, 'subsample': 0.8, 'min_samples_split': 740}. Best is trial 0 with value: 0.775244299674267.
[I 2021-08-29 16:26:27,017] Trial 12 finished with value: 0.7754442649434573 and parameters: {'n_estimators': 4184, 'max_depth': 3, 'learning_rate': 0.0021855089831635632, 'subsample': 0.8, 'min_samples_split': 720}. Best is trial 12 with value: 0.7754442649434573.
[I 2021-08-29 16:33:36,192] Trial 13 finished with value: 0.7674796747967478 and parameters: {'n_estimators': 4673, 'max_depth': 3, 'learning_rate': 0.0008591867900883996, 'subsample': 1.0, 'min_samples_split': 710}. Best is trial 12 with value: 0.7754442649434573.
[I 2021-08-29 16:34:00,103] Trial 14 finished with value: 0.7667210440456771 and parameters: {'n_estimators': 3906, 'max_depth': 3, 'learning_rate': 0.03988912602875739, 'subsample': 0.8, 'min_samples_split': 980}. Best is trial 12 with value: 0.7754442649434573.
[I 2021-08-29 16:35:23,672] Trial 15 finished with value: 0.7382113821138211 and parameters: {'n_estimators': 1618, 'max_depth': 10, 'learning_rate': 0.0007657325545159158, 'subsample': 0.7, 'min_samples_split': 670}. Best is trial 12 with value: 0.7754442649434573.
[I 2021-08-29 16:40:48,531] Trial 16 finished with value: 0.7409551374819103 and parameters: {'n_estimators': 4876, 'max_depth': 8, 'learning_rate': 4.282800703013737e-05, 'subsample': 0.9, 'min_samples_split': 850}. Best is trial 12 with value: 0.7754442649434573.
